,date,ticker,variable,value
276,2018-03-22,AMZN,open,1565.47
277,2018-03-22,FB,open,166.13
278,2018-03-22,GOOG,open,1081.88
279,2018-03-22,NFLX,open,313.07
280,2018-03-23,AAPL,open,165.8643
281,2018-03-23,AMZN,open,1539.01
282,2018-03-23,FB,open,165.44
283,2018-03-23,GOOG,open,1047.03
284,2018-03-23,NFLX,open,307.41
285,2018-03-26,AAPL,open,165.5491
286,2018-03-26,AMZN,open,1530.0
287,2018-03-26,FB,open,160.82
288,2018-03-26,GOOG,open,1046.0
289,2018-03-26,NFLX,open,309.36
290,2018-03-27,AAPL,open,171.075
291,2018-03-27,AMZN,open,1572.4
292,2018-03-27,FB,open,156.31
293,2018-03-27,GOOG,open,1063.0
294,2018-03-27,NFLX,open,322.49
295,2018-03-28,AAPL,open,164.7414
296,2018-03-28,AMZN,open,1447.0
297,2018-03-28,FB,open,151.65
298,2018-03-28,GOOG,open,998.0
299,2018-03-28,NFLX,open,298.39
300,2018-03-29,AAPL,open,165.2881
301,2018-03-29,AMZN,open,1406.0
302,2018-03-29,FB,open,155.15
303,2018-03-29,GOOG,open,1011.63
304,2018-03-29,NFLX,open,287.0
305,2018-04-02,AAPL,open,165.362
306,2018-04-02,AMZN,open,1417.62
307,2018-04-02,FB,open,157.81
308,2018-04-02,GOOG,open,1022.82
309,2018-04-02,NFLX,open,291.94
310,2018-04-03,AAPL,open,165.1256
311,2018-04-03,AMZN,open,1391.38
312,2018-04-03,FB,open,156.55
313,2018-04-03,GOOG,open,1013.91
314,2018-04-03,NFLX,open,285.45
315,2018-04-04,AAPL,open,162.4069
316,2018-04-04,AMZN,open,1358.24
317,2018-04-04,FB,open,152.025
318,2018-04-04,GOOG,open,993.41
319,2018-04-04,NFLX,open,273.63
320,2018-04-05,AAPL,open,169.9915
321,2018-04-05,AMZN,open,1441.99
322,2018-04-05,FB,open,161.56
323,2018-04-05,GOOG,open,1041.33
324,2018-04-05,NFLX,open,293.15
325,2018-04-06,AAPL,open,168.4056
326,2018-04-06,AMZN,open,1429.97
327,2018-04-06,FB,open,157.73
328,2018-04-06,GOOG,open,1020.0
329,2018-04-06,NFLX,open,289.1
330,2018-04-09,AAPL,open,167.332
331,2018-04-09,AMZN,open,1425.03
332,2018-04-09,FB,open,157.82
333,2018-04-09,GOOG,open,1016.8
334,2018-04-09,NFLX,open,291.77
335,2018-04-10,AAPL,open,170.4052
336,2018-04-10,AMZN,open,1431.99
337,2018-04-10,FB,open,157.93
338,2018-04-10,GOOG,open,1026.44
339,2018-04-10,NFLX,open,297.68
340,2018-04-11,AAPL,open,169.6467
341,2018-04-11,AMZN,open,1439.44
342,2018-04-11,FB,open,165.36
343,2018-04-11,GOOG,open,1027.99
344,2018-04-11,NFLX,open,302.8847
345,2018-04-12,AAPL,open,170.80900000000003
346,2018-04-12,AMZN,open,1439.5
347,2018-04-12,FB,open,166.98
348,2018-04-12,GOOG,open,1025.04
349,2018-04-12,NFLX,open,309.7187
350,2018-04-13,AAPL,open,172.1585
351,2018-04-13,AMZN,open,1449.14
352,2018-04-13,FB,open,164.58
353,2018-04-13,GOOG,open,1040.88
354,2018-04-13,NFLX,open,317.29
355,2018-04-16,AAPL,open,172.4048
356,2018-04-16,AMZN,open,1445.0
357,2018-04-16,FB,open,165.7249
358,2018-04-16,GOOG,open,1037.0
359,2018-04-16,NFLX,open,315.99
360,2018-04-17,AAPL,open,173.8428
361,2018-04-17,AMZN,open,1462.3
362,2018-04-17,FB,open,165.83
363,2018-04-17,GOOG,open,1051.37
364,2018-04-17,NFLX,open,329.66
365,2018-04-18,AAPL,open,175.143
366,2018-04-18,AMZN,open,1514.65
367,2018-04-18,FB,open,166.88
368,2018-04-18,GOOG,open,1077.43
369,2018-04-18,NFLX,open,336.3
370,2018-04-19,AAPL,open,172.3259
371,2018-04-19,AMZN,open,1543.22
372,2018-04-19,FB,open,166.2
373,2018-04-19,GOOG,open,1069.4
374,2018-04-19,NFLX,open,332.88
375,2018-04-20,AAPL,open,168.0362
376,2018-04-20,AMZN,open,1561.2
377,2018-04-20,FB,open,167.79
378,2018-04-20,GOOG,open,1082.0
379,2018-04-20,NFLX,open,332.22
380,2018-04-23,AAPL,open,164.3324
381,2018-04-23,AMZN,open,1546.69
382,2018-04-23,FB,open,167.27
383,2018-04-23,GOOG,open,1077.86
384,2018-04-23,NFLX,open,329.1499
385,2018-04-24,AAPL,open,163.1851
386,2018-04-24,AMZN,open,1535.8
387,2018-04-24,FB,open,165.43
388,2018-04-24,GOOG,open,1052.0
389,2018-04-24,NFLX,open,319.2168
390,2018-04-25,AAPL,open,160.1808
391,2018-04-25,AMZN,open,1458.0
392,2018-04-25,FB,open,160.1448
393,2018-04-25,GOOG,open,1025.52
